,Cities,Provinces,2010,2015
0,Surabaya,East Java,"2,765,487","2,847,480"
1,East Jakarta,Special Capital Region of Jakarta,"2,693,896","2,826,651"
2,Bekasi,West Java,"2,334,871","2,708,721"
3,Bandung,West Java,"2,394,873","2,480,615"
4,West Jakarta,Special Capital Region of Jakarta,"2,281,945","2,460,739"
5,Medan,North Sumatra,"2,097,610","2,209,139"
6,South Jakarta,Special Capital Region of Jakarta,"2,062,232","2,183,905"
7,Depok,West Java,"1,738,570","2,099,989"
8,Tangerang,Banten,"1,798,601","2,043,213"
9,North Jakarta,Special Capital Region of Jakarta,"1,645,659","1,745,697"
10,Semarang,Central Java,"1,555,984","1,698,777"
11,Palembang,South Sumatra,"1,455,284","1,578,582"
12,South Tangerang,Banten,"1,290,322","1,538,970"
13,Makassar,South Sulawesi,"1,338,663","1,447,677"
14,Batam,Kepulauan Riau,"944,285","1,184,978"
15,Bogor,West Java,"950,334","1,046,579"
16,Pekanbaru,Riau,"897,767","1,035,834"
17,Bandar Lampung,Lampung,"881,801","977,686"
18,Central Jakarta,Special Capital Region of Jakarta,"902,973","913,871"
19,Padang,West Sumatra,"833,562","901,305"
20,Denpasar,Bali,"788,589","879,098"
21,Malang,East Java,"820,243","850,904"
22,Samarinda,East Kalimantan,"727,500","811,314"
23,Banjarmasin,South Kalimantan,"625,481","674,739"
24,Tasikmalaya,West Java,"635,464","657,169"
25,Serang,Banten,"577,785","642,205"
26,Balikpapan,East Kalimantan,"557,579","614,663"
27,Pontianak,West Kalimantan,"554,764","606,721"
28,Cimahi,West Java,"541,177","585,931"
29,Jambi,Jambi,"531,857","575,388"
30,Surakarta,Central Java,"499,337","512,056"
31,Mataram,West Nusa Tenggara,"402,843","449,438"
32,Manado,North Sulawesi,"410,481","425,420"
33,Yogyakarta,Special Region of Yogyakarta,"388,627","412,347"
34,Cilegon,Banten,"374,559","411,554"
35,Ambon,Maluku,"331,254","410,207"
36,Kupang,East Nusa Tenggara,"336,239","390,026"
37,Palu,Central Sulawesi,"336,532","367,600"
38,Bengkulu,Bengkulu,"308,544","350,535"
39,Kendari,Southeast Sulawesi,"289,966","346,500"
40,Sukabumi,West Java,"298,681","317,883"
41,Cirebon,West Java,"296,389","307,319"
42,Pekalongan,Central Java,"281,434","296,168"
43,Dumai,Riau,"253,803","285,448"
44,Jayapura,Papua,"256,705","282,766"
45,Kediri,East Java,"268,507","279,901"
46,Binjai,North Sumatra,"246,154","264,440"
47,Palangka Raya,Central Kalimantan,"220,962","259,205"
48,Banda Aceh,Aceh,"223,446","250,227"
49,Pematangsiantar,North Sumatra,"234,698","247,219"
50,Tegal,Central Java,"239,599","245,995"
51,Tarakan,North Kalimantan,"193,370","234,867"
52,Banjarbaru,South Kalimantan,"199,627","233,726"
53,Probolinggo,East Java,"217,062","228,834"
54,Sorong,West Papua,"190,625","225,022"
55,Lubuklinggau,South Sumatra,"201,308","219,180"
56,Ternate,North Maluku,"185,705","212,527"
57,Padang Sidempuan,North Sumatra,"191,531","209,550"
58,Singkawang,West Kalimantan,"186,462","207,144"
59,Bitung,North Sulawesi,"187,652","205,379"
60,Tanjung Pinang,Kepulauan Riau,"187,359","201,992"
61,Gorontalo,Gorontalo,"180,127","201,858"
62,Batu,East Java,"190,184","200,369"
63,Pangkal Pinang,Bangka Belitung,"174,758","195,776"
64,Pasuruan,East Java,"186,262","194,684"
65,Lhokseumawe,Aceh,"171,163","191,104"
66,Salatiga,Central Java,"170,332","183,631"
67,Banjar,West Java,"175,157","181,331"
68,Prabumulih,South Sumatra,"161,984","176,900"
69,Madiun,East Java,"170,964","174,953"
70,Palopo,South Sulawesi,"147,932","168,452"
71,Tanjungbalai,North Sumatra,"154,445","166,782"
72,Bontang,East Kalimantan,"143,683","165,606"
73,Langsa,Aceh,"148,945","165,534"
74,Bima,West Nusa Tenggara,"142,579","159,445"
75,Metro,Lampung,"145,471","158,215"
76,Tebing Tinggi,North Sumatra,"145,248","156,619"
77,Baubau,Southeast Sulawesi,"136,991","154,570"
78,Parepare,South Sulawesi,"129,262","138,604"
79,Blitar,East Java,"131,968","137,866"
80,Gunungsitoli,North Sumatra,"126,202","135,868"
81,Pagar Alam,South Sumatra,"126,181","133,756"
82,Payakumbuh,West Sumatra,"116,825","127,615"
83,Mojokerto,East Java,"120,196","125,657"
84,Bukittinggi,West Sumatra,"111,312","122,395"
85,Magelang,Central Java,"118,227","120,769"
86,Kotamobagu,North Sulawesi,"107,459","119,277"
87,Tomohon,North Sulawesi,"91,553","100,193"
88,Tidore,North Maluku,"90,055","96,910"
89,Sungai Penuh,Jambi,"82,293","87,032"
90,Sibolga,North Sumatra,"84,481","86,499"
91,Pariaman,West Sumatra,"79,043","84,594"
92,Subulussalam,Aceh,"67,446","75,044"
93,Tual,Maluku,"58,082","67,579"
94,Solok,West Sumatra,"59,396","65,951"
95,Sawahlunto,West Sumatra,"56,866","60,136"
96,Padang Panjang,West Sumatra,"47,008","50,875"
97,Sabang,Aceh,"30,653","33,054"
